Molecule ChEMBL ID,BCUTp-1l,minHCsats,MDEC-33,SpMin3_Bhm,SpMax2_Bhv,minHBint3,SHBint3,MLFER_A,SpMin2_Bhm,BCUTw-1h,minssNH,FMF,SpMax3_Bhs,SpMax2_Bhm,maxHBint8,MDEN-22,SpMin5_Bhm,nAtomLC,SpMax4_Bhm,VC-4,maxHBint3,SCH-6,SC-4,maxHBd,nHaaNH,SpMax1_Bhm,minHssNH,maxssCH2,maxHCsats,ASP-0,SCH-5,minHCsatu,AATSC0p,TopoPSA,MDEO-11,SpMin4_Bhm,MDEN-23,minHBd,AATS0v,ATSC1i,SpMax1_Bhv,nAtomLAC,RotBFrac,JGI8,ASP-5,SC-3,SpMax3_Bhv,JGI5,ATS0m,SpMax2_Bhs,ASP-7,MLFER_E,minHBint8,JGI9,VC-5,maxdssC,Formation energy,pIC50,pIC50_binary
CHEMBL4799996,4.292052830816716,0.3213456627305263,11.301708390938275,1.9034071329282904,3.8855975795300175,0.7063513473978119,1.8933553805749703,0.784,1.9147105722576083,18.99941518172653,3.2099730725623585,0.282051282051282,4.989176272544529,3.902531293537281,3.202850240952291,1.144714242553332,1.6315356098240317,13,3.572645237846727,0.1020620726159657,1.1870040331771583,0.8321396823846223,0.1020620726159657,0.3697862898985734,1.0,4.037963259593183,0.2287064200680271,1.0402712129574505,0.8084445861678002,0.7180495211481653,0.2845177968644246,0.4701117715072511,0.2267433680753579,87.32000000000001,0.0999999999999999,1.7769167189140394,0.381571414184444,0.2287064200680271,198.74175593733207,-17.6939980855274,3.96183218156269,9,0.3414634146341463,0.0095421227475901,0.0713212142839365,2.662072195512043,3.635709885776357,0.026530303030303,6498.868916299558,5.156300009099612,0.0290902595306595,2.0310000000000006,2.6628991196288085,0.0091081649831649,0.1476761807716828,0.254396665814016,-282.81,6.5391,1
CHEMBL481805,5.290344889632509,0.0,5.871755393035455,1.875460132517761,3.842412408605864,1.447261919196091,4.13658485848991,0.547,1.927673801461657,15.994923485201266,2.815331348078462,0.5625,3.89946989664422,3.873272858996256,0.0,3.2901055622437427,1.4472411106761376,3,3.593699195670261,0.0,2.6893229392938194,0.3333333333333333,0.0,0.5950466299185313,1.0,3.968474067183745,0.418393239431524,0.5253484837205977,0.0,0.6915114136572901,0.1443375672974064,0.0,0.2131399062169265,121.61,0.0,1.5276317344877437,0.0,0.418393239431524,237.5840848008282,3.0248632757768537,3.8734989112061218,0,0.21875,0.010980607520786,0.081237126871396,1.5463194779215617,3.766944081750832,0.0228174603174603,4678.192101000009,4.089466884972604,0.0351638210061016,3.85,0.0,0.0036959876543209,0.0577332733188953,0.0,-155.13,6.49485,0
CHEMBL4847471,3.658929397786915,0.3829736971949273,1.5202066118343964,1.581358520151348,3.537601671992479,0.0,0.0,0.246,1.853989268745561,31.972072050420984,0.0,0.2894736842105263,4.055172413793104,3.762751187612904,0.0,0.9654893846056296,1.1378221185169044,9,3.3871914294767724,0.0,0.0,0.3218840547804361,0.0,0.0,0.0,4.087753354454755,0.0,1.1944770408163266,0.5876838447186676,0.7180542619701549,0.0962250448649376,0.5876838447186676,0.2913013281323355,109.03,0.4999999999999999,1.5249944042211048,1.1052094495921163,0.0,222.64409903680337,-10.12327552011884,3.897736803342749,6,0.3636363636363636,0.0087220429482334,0.084456506199419,1.070114477015026,3.456554424603522,0.0213492063492063,4361.534580000008,4.154195686327278,0.037307389046904,1.7860000000000005,0.0,0.008125,0.1029039102362461,0.0,-260.0,4.07263,0
CHEMBL4847876,4.455934572597927,0.3448190665154951,7.1255554890241095,1.9082518801090147,3.6982122890776448,0.4930076650698025,2.023672712620991,1.2339999999999998,1.9526760923479725,15.995932835525796,3.3498520565633663,0.32,4.194615983465874,3.772036686270197,2.446728439495718,1.144714242553332,1.767454752965523,9,3.572522963710816,0.0,0.7733380542554177,0.535057238507513,0.0,0.2308573755489339,1.0,4.036187556448206,0.21059338781809,1.229231928769147,0.7183964002267573,0.6986029884944316,0.3319273052604535,0.449440002799768,0.2252342566214232,79.34,0.0999999999999999,1.8164878017799184,0.6299605249474366,0.21059338781809,193.8526002328647,-9.840242658008544,3.980006595105528,8,0.1891891891891892,0.0076195258624711,0.0783479808156609,1.6298762552995707,3.640722731970259,0.019580808080808,5377.774210000018,4.977160894926565,0.0327262895332609,2.305,2.446728439495718,0.00684375,0.1562402288207015,0.3371244775302873,-154.68,6.1512,0
CHEMBL4848392,4.455830371618888,0.3505182534652674,7.1255554890241095,1.9067902298358528,3.696282650940132,0.5097377054117471,2.167819480475431,1.2339999999999998,1.958803863611488,15.996941934764957,3.330947735575712,0.3289473684210526,4.20511932939002,3.772256069774131,2.559028262797676,1.144714242553332,1.7719228739653587,9,3.572191219282527,0.0,0.881650355973543,0.535057238507513,0.0,0.2646845360427611,1.0,4.033432533519673,0.2200455483119172,1.1602770232321324,0.7388045634920635,0.6988459539999207,0.3319273052604535,0.4545420436160945,0.2231896294567721,88.57,0.0999999999999999,1.828080449394822,0.6299605249474366,0.2200455483119172,194.149155189858,-13.628978410403947,3.964508882446403,8,0.1842105263157894,0.0074189802317164,0.0788606403671371,1.6298762552995707,3.624295050884887,0.0192311507936507,5633.742211000018,4.977160894926908,0.0329568655033946,2.318,2.559028262797676,0.0061705411084843,0.1437877917072563,0.3260308987444009,-169.56,6.7607,1
CHEMBL4849063,4.454983672697879,0.357268129648039,8.216731292372094,1.8596707896180849,3.7408901945565742,0.5014562380461809,2.2025525025178467,1.0,1.9163400821423944,15.997957152523636,3.229639691901146,0.3333333333333333,4.910706634579872,3.831867373946319,2.850558049013698,1.144714242553332,1.7822234658387823,9,3.5702433085122607,0.0,0.8513785482070696,0.259679700787487,0.0,0.2630998493099412,1.0,4.051701939670763,0.2440368183353842,0.9623865733594548,0.7559754897329303,0.7080127436768185,0.1178511301977579,0.4620198098451352,0.2217178360493082,108.88,0.2413723461514074,1.809436076433996,0.9576701552197604,0.2440368183353842,196.14398935364585,-23.782791559341742,4.000346131264634,8,0.1590909090909091,0.0084444657492626,0.0768035563619261,2.1945582570022686,3.557843982226519,0.0190163934426229,6668.043065000021,4.917410117490109,0.0322323287866533,2.733,1.4151634038934005,0.0072102567543388,0.1215892458290019,0.2998330691564614,-301.79,6.6073,1
CHEMBL4849217,3.6609357507410745,0.3919819880112539,1.5202066118343964,1.726027476780878,3.551202536279868,0.0,0.0,0.246,1.854042567966074,31.972072151225365,0.0,0.2619047619047619,3.906976744186049,3.7628164618218007,0.0,0.9654893846056296,1.2938178173457138,9,3.4227575109021715,0.0,0.0,0.2937003916594756,0.0,0.0,0.0,4.094295595836613,0.0,1.1699759070294784,0.5922499604211469,0.7171023071194064,0.0962250448649376,0.5922499604211469,0.287557093992638,109.03,0.4999999999999999,1.5365378824142877,1.1052094495921163,0.0,223.0875489466442,-9.739469657332158,3.905116750236292,6,0.4166666666666667,0.0083621700995212,0.0831074532523083,1.013747150773105,3.4805245961644307,0.0188690476190476,4652.094950000009,4.110220487892239,0.0367121531147256,1.9130000000000005,0.0,0.0070416666666666,0.0776456063855522,0.0,-236.08,3.60944,0
CHEMBL4849920,4.455742096814354,0.3505182534652674,7.1255554890241095,1.907167625058831,3.6948995001386975,0.5203530204223508,2.214640347328668,1.2339999999999998,1.9524990922377976,15.996941170851397,3.3186020565633663,0.3287671232876712,4.201559871025444,3.7709384278852993,2.625955379252442,1.144714242553332,1.7639701961121648,9,3.572126440019108,0.0,0.8988678435320483,0.535057238507513,0.0,0.2708573755489339,1.0,4.033492207289691,0.22621838781809,1.0938422317229362,0.7388045634920635,0.6986029884944316,0.3319273052604535,0.4545420436160945,0.22299907837226,88.57,0.0999999999999999,1.8010194006870657,0.6299605249474366,0.22621838781809,195.4746767646304,-13.603460293062248,3.9645529307330114,8,0.1891891891891892,0.0076195258624711,0.0783479808156609,1.6298762552995707,3.624592734166541,0.019580808080808,5487.445962000017,4.966400441330678,0.0327262895332609,2.318,2.625955379252442,0.00684375,0.1437877917072563,0.3252901580036602,-253.28,6.35556,0
CHEMBL4853593,4.456215045220124,0.3559463381157888,9.819756277554388,1.9019744749276668,3.887141334803876,0.6326261043089962,1.468323617209056,1.1549999999999998,1.916228451520381,15.997958174413698,3.392853820145036,0.3604651162790697,4.981987400303709,3.904808746256263,2.1011978938368343,1.144714242553332,1.7248314030931036,9,3.579791833880158,0.1020620726159657,0.8356975129000598,0.9001810641285994,0.1020620726159657,0.2463110871261573,1.0,4.052467044100659,0.178978554289025,1.0466212980305831,0.7420524525428476,0.6929969704747426,0.2845177968644246,0.4603960219857649,0.2245361115263591,108.88,0.2413723461514074,1.78448559206491,0.7453275952813129,0.178978554289025,202.62647077505383,-18.35454337756218,4.000720693191294,8,0.1489361702127659,0.0093059754766104,0.0710903329078008,2.784674920826704,3.733847767415391,0.0223148148148147,6810.27505800002,4.990328563044288,0.0292640360247026,3.1129999999999995,2.1011978938368343,0.0076387912173777,0.1934536154703182,0.3113605699897357,-196.85,8.14874,1
CHEMBL4854089,5.323795858463101,0.0,5.871755393035455,1.920757465294026,3.84573124165444,1.4407943572431472,4.04734180247252,0.159,1.9565428300994927,31.972072601713368,2.857553911331245,0.5,3.874777835459481,3.882709984092506,0.0,1.0357047079722488,1.3793074213041596,3,3.697500575514197,0.0,2.6065474452293724,0.4603670583261423,0.0,0.5042054855132816,0.0,4.101242498272057,0.441155506608283,0.9899013465323891,0.0,0.6980715014511744,0.0962250448649376,0.6760621840796874,0.2715490124381671,124.02,0.0,1.7259864402172802,1.0920483450836267,0.441155506608283,242.98705689862032,0.7246105435726586,3.908742728564941,3,0.2571428571428571,0.0106425552340987,0.0797127700263303,1.6143608596655383,3.767483774268179,0.0234469696969696,5945.68020700001,4.04986958626321,0.0336546182977294,3.724,0.0,0.0050231481481481,0.118712213037781,0.0,-153.65,4.37582,0
